Date,Open,High,Low,Close,Adj Close,Volume
26/06/20,198.96,199.00,190.97,191.95,191.95,44274500
29/06/20,193.80,202.00,189.70,201.87,201.87,45132000
30/06/20,201.30,217.54,200.75,215.96,215.96,84592500
01/07/20,216.60,227.07,216.10,223.93,223.93,66634500
02/07/20,244.30,245.60,237.12,241.73,241.73,86250500
06/07/20,255.34,275.56,253.21,274.32,274.32,102849500
07/07/20,281.00,285.90,267.34,277.97,277.97,107448500
08/07/20,281.00,283.45,262.27,273.18,273.18,81556500
09/07/20,279.40,281.71,270.26,278.86,278.86,58588000
10/07/20,279.20,309.78,275.20,308.93,308.93,116688000
13/07/20,331.80,359.00,294.22,299.41,299.41,194927000
14/07/20,311.20,318.00,286.20,303.36,303.36,117090500
15/07/20,308.60,310.00,291.40,309.20,309.20,81839000
16/07/20,295.43,306.34,293.20,300.13,300.13,71504000
17/07/20,302.69,307.50,298.00,300.17,300.17,46650000
20/07/20,303.80,330.00,297.60,328.60,328.60,85607000
21/07/20,327.99,335.00,311.60,313.67,313.67,80536000
22/07/20,319.80,325.28,312.40,318.47,318.47,70805500
23/07/20,335.79,337.80,296.15,302.61,302.61,121642500
24/07/20,283.20,293.00,273.31,283.40,283.40,96983000
27/07/20,287.00,309.59,282.60,307.92,307.92,80243500
28/07/20,300.80,312.94,294.88,295.30,295.30,79043500
29/07/20,300.20,306.96,297.40,299.82,299.82,47134500
30/07/20,297.60,302.65,294.20,297.50,297.50,38105000
31/07/20,303.00,303.41,284.20,286.15,286.15,61041000
03/08/20,289.84,301.96,288.88,297.00,297.00,44046500
04/08/20,299.00,305.48,292.40,297.40,297.40,42075000
05/08/20,298.60,299.97,293.66,297.00,297.00,24739000
06/08/20,298.17,303.46,295.45,297.92,297.92,29961500
07/08/20,299.91,299.95,283.00,290.54,290.54,44482000
10/08/20,289.60,291.50,277.17,283.71,283.71,37611500
11/08/20,279.20,284.00,273.00,274.88,274.88,43129000
12/08/20,294.00,317.00,287.00,310.95,310.95,109147000
13/08/20,322.20,330.24,313.45,324.20,324.20,102126500
14/08/20,333.00,333.76,325.33,330.14,330.14,62888000
17/08/20,335.40,369.17,334.57,367.13,367.13,101211500
18/08/20,379.80,384.78,369.02,377.42,377.42,82372500
19/08/20,373.00,382.20,368.24,375.71,375.71,61026500
20/08/20,372.14,404.40,371.41,400.37,400.37,103059000
21/08/20,408.95,419.10,405.01,410.00,410.00,107448000
24/08/20,425.26,425.80,385.50,402.84,402.84,100318000
25/08/20,394.98,405.59,393.60,404.67,404.67,53294500
26/08/20,412.00,433.20,410.73,430.63,430.63,71197000
27/08/20,436.09,459.12,428.50,447.75,447.75,118465000
28/08/20,459.02,463.70,437.30,442.68,442.68,100406000
31/08/20,444.61,500.14,440.11,498.32,498.32,118374400
01/09/20,502.14,502.49,470.51,475.05,475.05,89841100
02/09/20,478.99,479.04,405.12,447.37,447.37,96176100
03/09/20,407.23,431.80,402.00,407.00,407.00,87596100
04/09/20,402.81,428.00,372.02,418.32,418.32,110321900
08/09/20,356.00,368.74,329.88,330.21,330.21,115465700
09/09/20,356.60,369.00,341.51,366.28,366.28,79465800
10/09/20,386.21,398.99,360.56,371.34,371.34,84930600
11/09/20,381.94,382.50,360.50,372.72,372.72,60717500
14/09/20,380.95,420.00,373.30,419.62,419.62,83020600
15/09/20,436.56,461.94,430.70,449.76,449.76,97298200
16/09/20,439.87,457.79,435.31,441.76,441.76,72279300
