,Date,Open,High,Low,Close,Adj Close,Volume,User,Tweet,Current Ratio ,Long-term Debt / Capital ,Debt/Equity Ratio ,Gross Margin ,Operating Margin ,EBIT Margin ,Pre-Tax Proﬁt Margin ,Net Profit Margin ,Asset Turnover ,Inventory Turnover Ratio ,Receiveable Turnover ,Days Sales In Receivables ,ROE - Return On Equity ,Return On Tangible Equity ,ROA - Return On Assets ,ROI - Return On Investment ,Book Value Per Share ,Operating Cash Flow Per Share ,Free Cash Flow Per Share ,Enterprise Value,PE Ratio,PS Ratio,PB Ratio,Earnings Yield,FCF Yield,Buyback Yield / Dilution,Total Shareholder Return,Market Capitalization
0,26/06/20,198.96,199,190.97,191.95,191.95,44274500,vincent13031925,"Elon Musk Explains Why Tesla $TSLA Should Be Considered A Tech Stock
https://t.co/RNXmFxeVvs",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,023"
1,26/06/20,198.96,199,190.97,191.95,191.95,44274500,vincent13031925,Tesla $TSLA Q2 2020 Results May Be Better Than Expected [Opinion] https://t.co/jnlY3B6PlF,1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,024"
2,26/06/20,198.96,199,190.97,191.95,191.95,44274500,Surfstrong1,"@FT If Zoox is worth $1.2n and is more advanced than $TSLA, why is the market valuing the Tesla autonomous driving at $150 billion?",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,025"
3,26/06/20,198.96,199,190.97,191.95,191.95,44274500,squawksquare,"""Electrek has now learned that Tesla might surprise with much higher deliveries than expected — even maybe getting close to beating its last Q2 record of 95,000 deliveries"" $tsla",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,026"
4,29/06/20,193.8,202,189.7,201.87,201.87,45132000,DonutShorts,"Cathie Wood

""Tesla [balance sheet] looks like a fortress""

Write that one down  $TSLA",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,027"
5,29/06/20,193.8,202,189.7,201.87,201.87,45132000,MelaynaLokosky,Tesla Model 3 on fire &amp; still moving. No other details known. $TSLA https://t.co/UHUUfH5cUc,1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,028"
6,29/06/20,193.8,202,189.7,201.87,201.87,45132000,TeslaPodcast,"Additional context on the latest report of a leaked Elon Musk email suggesting profitability is in the cards for @Tesla in Q2. $TSLA #Tesla

https://t.co/wELyhEnYoZ",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,029"
7,29/06/20,193.8,202,189.7,201.87,201.87,45132000,vincent13031925,"Tesla Max Battery Size Increases To 205kWh In Software, Hints At Cybertruck &amp; Roadster 2.0 Production Preparation

$TSLA #Tesla  https://t.co/IFTqw1rvs2",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,030"
8,29/06/20,193.8,202,189.7,201.87,201.87,45132000,stevenmarkryan,"https://t.co/bLmKzYAi21 - Billionaire Investor Ron Baron Drops Clues On Tesla's Q2 (reaction video)

NEW

$TSLA

I love Ron. Always full of nuggets from his conversations with @elonmusk https://t.co/lPLgR8O6fU",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,031"
9,29/06/20,193.8,202,189.7,201.87,201.87,45132000,GerberKawasaki,First road trip in the #teslamodelY - it handles like a 911 with twice the size and half the cost. I love the car. Tesla might have made the perfect vehicle... #tesla - in line up for delivery in MDR. $tsla @elonmusk https://t.co/wxvrsd3ymr,1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,032"
10,29/06/20,193.8,202,189.7,201.87,201.87,45132000,Nikola_Truth,"Happy $TSLA 10 Year Anniversary! 🥳 🎉 🎈 🍷 🍻
🔋🚗
#Tesla has since had 4 giant factories, 5 successful vehicle programs, the biggest 🔋 in the world and a solar breakthrough!
📈
In 10 years, Tesla has grown in value over 5600%, a consistent growth rate of 50% YoY for a decade! https://t.co/ZNDGAvwMgf",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,033"
11,29/06/20,193.8,202,189.7,201.87,201.87,45132000,Lebeaucarnews,"Ten years ago, when Tesla went public, it was $17/share.  Since then @TSLA has increased more than 5,500%,...here are the milestones and stock price changes along the way. https://t.co/AtF3gyk4pr",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,034"
12,29/06/20,193.8,202,189.7,201.87,201.87,45132000,Fiilismies08,"I bought 1m$ worth of Tesla shares with margin ahead of Thursdays delivery numbers, on top of my thousands of shares bought earlier. This is the biggest gamble of my life. 

Poker made me millionaire. Tesla will make me billionaire. 
$tsla $tslaq #poker #bitcoin #tesla https://t.co/w9dcNvDtwT",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,035"
13,29/06/20,193.8,202,189.7,201.87,201.87,45132000,vincent13031925,"Tesla Performance Model 3 From Giga Shanghai 🇨🇳 Increases Range To 635KM

Estimated delivery: Q1 2021
⁦@elonmusk⁩
$TSLA #Tesla #China  https://t.co/ilL4BSg0NV",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,036"
14,29/06/20,193.8,202,189.7,201.87,201.87,45132000,vincent13031925,"Tesla CEO @ElonMusk Turns 49 On the Eve Of $TSLA IPO’s 10-Year Anniversary

https://t.co/VOPG3lDJR9",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,037"
15,29/06/20,193.8,202,189.7,201.87,201.87,45132000,montana_skeptic,"Talk about misleading. Yes, $TSLA buyers no longer qualify for US FIT credits. But Tesla rakes in massive state subsidies, tax abatements, cheap electricity, HOV privileges &amp; the hidden tax of ZEV, CAFE, GHG credits. Elon, you are simply an inveterate liar. https://t.co/lFTB4ow2w1",1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004,"95,023",-659.88,3.65,10.36,0.02%,-0.97%,-5.78%,-5.78%,"95,038"
16,30/06/20,201.3,217.54,200.75,215.96,215.96,84592500,Stocktwits,"Tesla’s market cap closed above $200B for the first time ever. 
 
$TSLA △ 6.98%",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
17,30/06/20,201.3,217.54,200.75,215.96,215.96,84592500,GerberKawasaki,This made my day. Tesla is bigger than Exxon! I LOVE IT! $XOM $TSLA https://t.co/WVrLaVRz2z,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
18,30/06/20,201.3,217.54,200.75,215.96,215.96,84592500,GerberKawasaki,Tesla worth over $200 bil. Great job @elonmusk and @Tesla making the best cars on the planet. And soon other planets too... #mars $TSLA,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
19,30/06/20,201.3,217.54,200.75,215.96,215.96,84592500,GerberKawasaki,"tesla, wow, what a great qtr. Closes at $1071. ATH at the close. Thanks for playing. $TSLA",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
20,30/06/20,201.3,217.54,200.75,215.96,215.96,84592500,energyvest,It's happening: Tesla ($200B mkt cap) just flipped Exxon ($188B market cap)! #cleanenergywillwin $tsla 🌎🔋☀️🔥💪 https://t.co/2klpUE8vi5,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
21,30/06/20,201.3,217.54,200.75,215.96,215.96,84592500,EvaFoxU,".@elonmusk it looks amazing ‼️

Market Cap is $200B🥂🥂🥂

#Tesla $TSLA https://t.co/s8YKJP4ttc",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
22,30/06/20,201.3,217.54,200.75,215.96,215.96,84592500,freshjiva,"In spite of the incredible stock runup, $TSLA Enterprise Value to forward EBITDA sits at approx 30X vs 25x for $AMZN. For a stock growing EBITDA &amp; free cash flow &gt;50% this year alone, Tesla valuation is still extremely reasonable in my view. https://t.co/ooNzUm5EUs",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
23,30/06/20,201.3,217.54,200.75,215.96,215.96,84592500,vincent13031925,"Tesla Stocks $TSLA Jumped 7% To Reach All Time High With Market Cap Above $200 Billion In The Mid Day

by @EvaFoxU 
https://t.co/fyx1jVp10X",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
24,30/06/20,201.3,217.54,200.75,215.96,215.96,84592500,TheDomino,".@Tesla $TSLA market value just went over $200 billion for the first time ever...

Making it worth as much as Disney $DIS or Netflix $NFLX.
2x Honeywell $HON
4x Humana $HUM
10x Hilton $HLT

https://t.co/X0kkfavm6G

@cnbc",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
25,30/06/20,201.3,217.54,200.75,215.96,215.96,84592500,JavierBlas,ELECTRIC CAR vs BIG OIL: @Tesla has overtaken @ExxonMobil by market capitalization (~$200 billion vs ~$185 billion) | #OOTT $TSLA $XOM https://t.co/TdjDNwpuO0,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
26,30/06/20,201.3,217.54,200.75,215.96,215.96,84592500,GerberKawasaki,Tesla on fire after Elon emails staff to push hard to get to the profit zone. I’m seeing new Teslas everywhere again. They are dominating. I hope they can squeeze $1 of profit in this horrid qtr. SandP here we come. $tsla,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
27,07/01/20,216.6,227.07,216.1,223.93,223.93,66634500,vincent13031925,"Tesla Employees Received Congrats Email From Elon Musk Before Q2 Delivery Number

$TSLA #Tesla 
https://t.co/hlqZtD1xpP",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
28,07/01/20,216.6,227.07,216.1,223.93,223.93,66634500,GerberKawasaki,So @QTRResearch wants to open an account with me with $50... Should I do it? LOL. We can short Nikola. A sad day in TESLA Q history... Raven is down to $50... Thoughts?  $TSLA,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
29,07/01/20,216.6,227.07,216.1,223.93,223.93,66634500,_GettingStoned,"So Tesla saved a customer $582 on their electric bill. That's great...but WTF! Their electric bill was $692!!!!!

My monthly rent and electric bill is LESS than that. Rent $400. Electric $100-ish. 

$692 for a power bill is INSANE. $tsla I can't EVEN https://t.co/2OxXz8lRxP https://t.co/JdkKBJscsN",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
30,07/01/20,216.6,227.07,216.1,223.93,223.93,66634500,GerberKawasaki,"Tesla is bigger than Toyota now. Bigger than Exxon. Over $200 bil. What a great ride my fellow Tesla fans and shareholders! What a team, sticking together we beat the biggest hedge funds in the world! Awesome. $tsla",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
